,population,minority_population,owner_occupied,1-4_Homes,loan_amount_000s,income,income_cat,min_population,med_income,income_median_flag,state,loan_type,loan_purpose,gender,race
population,1,0.096247549,0.780942202,0.757000049,-0.02352209,-0.021385205,-0.013900933,0.148113491,0.01103588,0.020384811,-0.165087209,-0.025979852,0.022409904,0.009302577,0.004919753
minority_population,0.096247549,1,-0.332555073,-0.251513657,-0.031128654,-0.076379943,-0.063288659,0.859270352,-0.069860722,0.053995016,-0.279818181,-0.086943507,0.080772454,-0.062155911,0.168873387
owner_occupied,0.780942202,-0.332555073,1,0.879359288,0.024235097,0.023865495,0.052425484,-0.223869643,0.073924316,0.024882762,-0.079521636,0.002458701,0.008134737,0.034487546,-0.028274242
1-4_Homes,0.757000049,-0.251513657,0.879359288,1,-0.038883199,-0.02032666,-0.034996368,-0.180403923,-0.000213075,-0.016624385,-0.113400096,0.020116376,0.037412368,0.031660951,-0.064221187
loan_amount_000s,-0.02352209,-0.031128654,0.024235097,-0.038883199,1,0.531534378,0.605886353,0.056342504,0.208231388,0.314496303,-0.174461257,-0.09322346,-0.031297038,0.068544685,0.090376572
income,-0.021385205,-0.076379943,0.023865495,-0.02032666,0.531534378,1,0.493784023,-0.029906862,0.093906538,0.222331452,-0.051112715,-0.048847896,-0.051117535,0.062520425,0.032295668
income_cat,-0.013900933,-0.063288659,0.052425484,-0.034996368,0.605886353,0.493784023,1,0.040040471,0.249733397,0.634674161,-0.144363728,-0.120780285,-0.101718932,0.11586434,0.126314305
min_population,0.148113491,0.859270352,-0.223869643,-0.180403923,0.056342504,-0.029906862,0.040040471,1,-0.022223082,0.116601543,-0.4620632,-0.125702359,0.072481079,-0.045860199,0.187530189
med_income,0.01103588,-0.069860722,0.073924316,-0.000213075,0.208231388,0.093906538,0.249733397,-0.022223082,1,-0.013928339,0.037905889,-0.058439306,0.005347286,0.001528185,0.133982446
income_median_flag,0.020384811,0.053995016,0.024882762,-0.016624385,0.314496303,0.222331452,0.634674161,0.116601543,-0.013928339,1,-0.165373876,-0.091958645,-0.061057869,0.096938538,0.074613895
state,-0.165087209,-0.279818181,-0.079521636,-0.113400096,-0.174461257,-0.051112715,-0.144363728,-0.4620632,0.037905889,-0.165373876,1,0.133653456,-0.130990903,-0.024869249,-0.054673375
loan_type,-0.025979852,-0.086943507,0.002458701,0.020116376,-0.09322346,-0.048847896,-0.120780285,-0.125702359,-0.058439306,-0.091958645,0.133653456,1,-0.093185288,0.010619727,-0.041781676
